["port 1","LEFT"]
["port 2","RIGHT"]
2.2524979312762975e+14 1.2514947979384993e-02 -2.1896674758646242e+00
2.2575034822346891e+14 2.6622110850747002e-02 -1.4918950505536437e+00
2.2625090331930809e+14 5.0803109449517096e-02 -9.8678050999325850e-01
2.2675145841514728e+14 9.9026999074261587e-02 -7.8040209707606756e-01
2.2725201351098644e+14 1.4645916771836809e-01 -6.9159517977543328e-01
2.2775256860682562e+14 1.9928463368366248e-01 -5.2975272271221840e-01
2.2825312370266481e+14 2.6287289092031291e-01 -4.5711276200248036e-01
2.2875367879850400e+14 3.1641710908231596e-01 -4.1116306544151426e-01
2.2925423389434316e+14 3.6721226545545754e-01 -3.4022075768029775e-01
2.2948156099111853e+14 3.9275047428316406e-01 -3.3007006708068870e-01
2.2952746189340697e+14 3.9793482921143447e-01 -3.3007006708068870e-01
2.2975478899018234e+14 4.2273353398756269e-01 -3.3563370302018070e-01
2.3025534408602150e+14 4.6558323575086974e-01 -3.3428987614635886e-01
2.3075589918186069e+14 4.9664303976087876e-01 -3.1845816691280260e-01
2.3125645427769988e+14 5.2862934081025414e-01 -3.6248482802412219e-01
2.3175700937353906e+14 5.5000640871178663e-01 -4.0333425303485726e-01
2.3225756446937822e+14 5.5526008519839398e-01 -4.4037568379235686e-01
2.3275811956521741e+14 5.6726134074541301e-01 -5.2817094912041163e-01
2.3325867466105659e+14 5.7493798478662173e-01 -6.0550879135867663e-01
2.3375922975689575e+14 5.6251302549218740e-01 -6.7861146352407864e-01
2.3425978485273494e+14 5.5593863811570809e-01 -8.0222685577569175e-01
2.3476033994857412e+14 5.6175442995123281e-01 -9.1822003420195919e-01
2.3526089504441328e+14 5.4840704573076993e-01 -1.0107371863412502e+00
2.3576145014025247e+14 5.2610661227987621e-01 -1.1336753015605743e+00
2.3626200523609166e+14 5.1639122697788653e-01 -1.2753490767615439e+00
2.3676256033193081e+14 5.0083702472979130e-01 -1.4056534559338851e+00
2.3726311542777000e+14 4.7583432428237205e-01 -1.5347390619221541e+00
2.3776367052360919e+14 4.5770421649862258e-01 -1.6704945935859778e+00
2.3826422561944834e+14 4.2902446348855888e-01 -1.8226322049882082e+00
2.3876478071528753e+14 3.9304480266094166e-01 -1.9857708941488397e+00
2.3926533581112672e+14 3.7584490144270993e-01 -2.1448590819816675e+00
2.3976589090696588e+14 3.5148938402691576e-01 -2.2986154759796960e+00
2.4026644600280506e+14 2.9915285868398606e-01 -2.4721504561926735e+00
2.4076700109864425e+14 2.6693331419819349e-01 -2.7081058961312738e+00
2.4126755619448341e+14 2.6136274600992426e-01 -2.9507041765021027e+00
2.4176811129032259e+14 2.2806819640242590e-01 -3.1387861031997057e+00
